name,collection_or_case,rarity,float_category
★ Hand Wraps | Spruce DDPAT,Unknown,Extraordinary,0.06 - 0.8
★ Hand Wraps | Overprint,Unknown,Extraordinary,0.06 - 0.8
★ Hand Wraps | Giraffe,Unknown,Extraordinary,0.06 - 0.8
★ Hand Wraps | Arboreal,Unknown,Extraordinary,0.06 - 0.8
★ Hand Wraps | Leather,Unknown,Extraordinary,0.06 - 0.8
★ Hand Wraps | Constrictor,Unknown,Extraordinary,0.06 - 0.8
★ Hand Wraps | Slaughter,Unknown,Extraordinary,0.06 - 0.8
★ Moto Gloves | Eclipse,Glove Case,Extraordinary,0.06 - 0.8
★ Moto Gloves | Turtle,Glove Case,Extraordinary,0.06 - 0.8
★ Moto Gloves | Blood Pressure,Glove Case,Extraordinary,0.06 - 0.8
★ Moto Gloves | Finish Line,Glove Case,Extraordinary,0.06 - 0.8
★ Moto Gloves | POW!,Glove Case,Extraordinary,0.06 - 0.8
★ Moto Gloves | 3rd Commando Company,Glove Case,Extraordinary,0.06 - 0.8
★ Moto Gloves | Spearmint,Glove Case,Extraordinary,0.06 - 0.8
★ Moto Gloves | Boom!,Glove Case,Extraordinary,0.06 - 0.8
★ Moto Gloves | Smoke Out,Glove Case,Extraordinary,0.06 - 0.8
★ Moto Gloves | Cool Mint,Glove Case,Extraordinary,0.06 - 0.8
★ Moto Gloves | Polygon,Glove Case,Extraordinary,0.06 - 0.8
★ Moto Gloves | Transport,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | Lunar Weave,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | Snow Leopard,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | Queen Jaguar,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | Convoy,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | Imperial Plaid,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | Crimson Weave,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | Rezan the Red,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | King Snake,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | Diamondback,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | Overtake,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | Black Tie,Glove Case,Extraordinary,0.06 - 0.8
★ Driver Gloves | Racing Green,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Forest DDPAT,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Emerald Web,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Fade,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Field Agent,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Buckshot,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Crimson Kimono,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Marble Fade,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Foundation,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Lt. Commander,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Tiger Strike,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Crimson Web,Glove Case,Extraordinary,0.06 - 0.8
★ Specialist Gloves | Mogul,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Omega,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Vice,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Hedge Maze,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Scarlet Shamagh,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Big Game,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Nocts,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Superconductor,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Arid,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Amphibious,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Bronze Morph,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Pandora's Box,Glove Case,Extraordinary,0.06 - 0.8
★ Sport Gloves | Slingshot,Glove Case,Extraordinary,0.06 - 0.8
★ Bloodhound Gloves | Charred,Glove Case,Extraordinary,0.06 - 0.8
★ Bloodhound Gloves | Guerrilla,Glove Case,Extraordinary,0.06 - 0.8
★ Bloodhound Gloves | Bronzed,Glove Case,Extraordinary,0.06 - 0.8
★ Bloodhound Gloves | Snakebite,Glove Case,Extraordinary,0.06 - 0.8
★ Broken Fang Gloves | Needle Point,Glove Case,Extraordinary,0.06 - 0.8
★ Broken Fang Gloves | Jade,Glove Case,Extraordinary,0.06 - 0.8
★ Broken Fang Gloves | Yellow-banded,Glove Case,Extraordinary,0.06 - 0.8
★ Broken Fang Gloves | Unhinged,Glove Case,Extraordinary,0.06 - 0.8
★ Hydra Gloves | Emerald,Glove Case,Extraordinary,0.06 - 0.8
★ Hydra Gloves | Case Hardened,Glove Case,Extraordinary,0.06 - 0.8
★ Hydra Gloves | Mangrove,Glove Case,Extraordinary,0.06 - 0.8
★ Hydra Gloves | Rattler,Glove Case,Extraordinary,0.06 - 0.8
AK-47 | Searing Rage,The Fever Collection,Classified,0 - 1
AK-47 | The Outsiders,The Gallery Collection,Classified,0 - 0.9
AK-47 | Inheritance,The Kilowatt Collection,Covert,0 - 0.797346
AK-47 | Hydroponic,The Rising Sun Collection,Classified,0 - 0.8
AK-47 | Cartel,The Chroma Collection,Classified,0 - 0.75
AK-47 | Case Hardened,The Arms Deal Collection,Classified,0 - 1
AK-47 | Phantom Disruptor,The Prisma 2 Collection,Classified,0 - 0.65
AK-47 | Neon Revolution,The Gamma 2 Collection,Covert,0 - 0.8
AK-47 | Legion of Anubis,The Fracture Collection,Covert,0 - 0.7
AK-47 | Asiimov,The Danger Zone Collection,Covert,0.05 - 0.7
AK-47 | Uncharted,The Prisma Collection,Mil-Spec Grade,0 - 0.75
AK-47 | Redline,The Phoenix Collection,Classified,0.1 - 0.7
AK-47 | Ice Coaled,The Recoil Collection,Classified,0 - 0.77
AK-47 | Aquamarine Revenge,The Falchion Collection,Covert,0 - 1
AK-47 | Elite Build,The Chroma 2 Collection,Mil-Spec Grade,0 - 1
AK-47 | Nightwish,The Dreams & Nightmares Collection,Covert,0 - 1
AK-47 | Point Disarray,The Revolver Case Collection,Classified,0 - 0.67
AK-47 | Vulcan,The Huntsman Collection,Covert,0 - 0.9
AK-47 | Frontside Misty,The Shadow Collection,Classified,0.02 - 0.87
AK-47 | Head Shot,The Revolution Collection,Covert,0 - 1
AK-47 | Wild Lotus,The St. Marc Collection,Covert,0 - 1
AK-47 | Panthera onca,The Ancient Collection,Classified,0 - 1
AK-47 | Neon Rider,The Horizon Collection,Covert,0 - 0.8
AK-47 | X-Ray,The Havoc Collection,Covert,0 - 1
AK-47 | Fire Serpent,The Bravo Collection,Covert,0.06 - 0.76
AK-47 | Crossfade,The Graphic Design Collection,Mil-Spec Grade,0 - 0.5
AK-47 | First Class,The Baggage Collection,Restricted,0 - 1
AK-47 | B the Monster,The Overpass 2024 Collection,Covert,0 - 0.8
AK-47 | Jaguar,The eSports 2014 Summer Collection,Covert,0 - 1
AK-47 | Emerald Pinstripe,The Bank Collection,Restricted,0 - 1
AK-47 | Wasteland Rebel,The Vanguard Collection,Covert,0.05 - 0.7
AK-47 | Jet Set,The Baggage Collection,Classified,0 - 1
AK-47 | Leet Museo,The Operation Riptide Collection,Covert,0 - 0.65
AK-47 | Bloodsport,The Spectrum Collection,Covert,0 - 0.45
AK-47 | The Empress,The Spectrum 2 Collection,Covert,0 - 1
AK-47 | Gold Arabesque,The 2021 Dust 2 Collection,Covert,0 - 0.7
AK-47 | Rat Rod,The Shattered Web Collection,Restricted,0 - 1
AK-47 | Slate,The Snakebite Collection,Restricted,0 - 1
AK-47 | Steel Delta,The Anubis Collection,Mil-Spec Grade,0 - 0.73
AK-47 | Fuel Injector,The Wildfire Collection,Covert,0 - 1
AK-47 | Orbit Mk01,The Operation Hydra Collection,Restricted,0 - 0.55
AK-47 | Olive Polycam,The Sport & Field Collection,Industrial Grade,0 - 0.5
AK-47 | Blue Laminate,The eSports 2013 Winter Collection,Restricted,0.02 - 0.4
AK-47 | Black Laminate,The Vertigo Collection,Mil-Spec Grade,0.06 - 0.8
AK-47 | Green Laminate,The 2021 Vertigo Collection,Mil-Spec Grade,0.02 - 0.4
AK-47 | Red Laminate,The eSports 2013 Collection,Classified,0.06 - 0.8
AK-47 | Safety Net,The 2018 Inferno Collection,Restricted,0 - 0.6
AK-47 | Baroque Purple,The Canals Collection,Industrial Grade,0 - 1
AK-47 | Nouveau Rouge,The Radiant Collection,Classified,0 - 1
AK-47 | Midnight Laminate,The Ascent Collection,Restricted,0 - 0.75
AK-47 | Wintergreen,The Boreal Collection,Mil-Spec Grade,0 - 0.75
AK-47 | VariCamo Grey,The Boreal Collection,Industrial Grade,0 - 0.671875
AK-47 | Safari Mesh,The Dust 2 Collection,Industrial Grade,0.06 - 0.8
AK-47 | Jungle Spray,The Aztec Collection,Industrial Grade,0.06 - 0.8
AK-47 | Predator,The Dust Collection,Industrial Grade,0.06 - 0.8
AUG | Amber Fade,The 2021 Train Collection,Mil-Spec Grade,0 - 0.4
AUG | Death by Puppy,The CS20 Collection,Classified,0 - 0.4
AUG | Ricochet,The Revolver Case Collection,Mil-Spec Grade,0 - 0.8
AUG | Midnight Lily,The St. Marc Collection,Restricted,0 - 0.5
AUG | Random Access,The 2018 Nuke Collection,Restricted,0 - 0.5
AUG | Surveillance,The Control Collection,Consumer Grade,0 - 0.6
AUG | Carved Jade,The Ancient Collection,Mil-Spec Grade,0 - 0.2
AUG | Flame Jörmungandr,The Norse Collection,Restricted,0 - 0.5
AUG | Anodized Navy,The Alpha Collection,Mil-Spec Grade,0 - 0.08
AUG | Hot Rod,The Assault Collection,Mil-Spec Grade,0 - 0.08
AUG | Steel Sentinel,The Train 2025 Collection,Industrial Grade,0 - 1
AUG | Luxe Trim,The Gallery Collection,Mil-Spec Grade,0 - 0.9
AUG | Akihabara Accept,The Rising Sun Collection,Covert,0 - 1
AUG | Chameleon,The Phoenix Collection,Covert,0 - 0.5
AUG | Momentum,The Prisma Collection,Classified,0.05 - 1
AUG | Triqua,The Spectrum 2 Collection,Mil-Spec Grade,0 - 1
AUG | Torque,The Huntsman Collection,Restricted,0 - 0.5
AUG | Fleet Flock,The Chroma 3 Collection,Classified,0 - 1
AUG | Arctic Wolf,The Shattered Web Collection,Restricted,0 - 0.7
AUG | Eye of Zapems,The Overpass 2024 Collection,Restricted,0 - 0.85
AUG | Aristocrat,The Gamma Collection,Restricted,0 - 0.66
AUG | Plague,The Operation Riptide Collection,Mil-Spec Grade,0 - 0.76
AUG | Sand Storm,The 2021 Mirage Collection,Restricted,0 - 0.5
AUG | Stymphalian,The Clutch Collection,Classified,0 - 0.63
AUG | Syd Mead,The Gamma 2 Collection,Classified,0 - 0.8
AUG | Tom Cat,The Prisma 2 Collection,Mil-Spec Grade,0 - 0.8
AUG | Lil' Pig,The Graphic Design Collection,Classified,0 - 0.8
AUG | Amber Slipstream,The Horizon Collection,Mil-Spec Grade,0 - 0.55
AUG | Copperhead,The Dust Collection,Mil-Spec Grade,0.12 - 0.38
AUG | Spalted Wood,The 2021 Dust 2 Collection,Industrial Grade,0 - 0.48
AUG | Snake Pit,The Anubis Collection,Consumer Grade,0 - 0.55
AUG | Wings,The Arms Deal Collection,Mil-Spec Grade,0 - 0.14
AUG | Commando Company,The Boreal Collection,Consumer Grade,0 - 0.65
AUG | Navy Murano,The Canals Collection,Consumer Grade,0 - 1
AUG | Bengal Tiger,The eSports 2014 Summer Collection,Classified,0.06 - 0.8
AUG | Contractor,The Italy Collection,Consumer Grade,0.06 - 0.8
AUG | Colony,The Mirage Collection,Consumer Grade,0.06 - 0.8
AUG | Storm,The Lake Collection,Consumer Grade,0.06 - 0.8
AUG | Daedalus,The Gods and Monsters Collection,Consumer Grade,0 - 0.55
AUG | Condemned,The Safehouse Collection,Industrial Grade,0.06 - 0.8
AUG | Sweeper,The 2018 Inferno Collection,Consumer Grade,0 - 0.6
AUG | Radiation Hazard,The Cache Collection,Industrial Grade,0 - 0.55
AWP | Fade,The Control Collection,Covert,0 - 0.08
AWP | Man-o'-war,The Chroma Collection,Covert,0.1 - 0.2
AWP | PAW,The Horizon Collection,Restricted,0 - 0.5
AWP | Graphite,The Bravo Collection,Classified,0 - 0.12
AWP | Lightning Strike,The Arms Deal Collection,Covert,0 - 0.08
AWP | Silk Tiger,The Havoc Collection,Classified,0 - 0.6
AWP | Worm God,The Chroma 2 Collection,Restricted,0 - 0.45
AWP | LongDog,The Train 2025 Collection,Covert,0 - 1
AWP | Printstream,The Fever Collection,Covert,0 - 1
AWP | Chrome Cannon,The Kilowatt Collection,Covert,0 - 1
AWP | Asiimov,The Phoenix Collection,Covert,0.18 - 1
AWP | Chromatic Aberration,The Recoil Collection,Covert,0 - 0.7
AWP | Redline,The Winter Offensive Collection,Classified,0.1 - 0.4
AWP | Oni Taiji,The Operation Hydra Collection,Covert,0 - 0.5
AWP | Hyper Beast,The Falchion Collection,Covert,0 - 1
AWP | Elite Build,The Wildfire Collection,Classified,0 - 1
AWP | Neo-Noir,The Danger Zone Collection,Covert,0 - 0.5
AWP | Fever Dream,The Spectrum Collection,Classified,0 - 0.55
AWP | Capillary,The Prisma 2 Collection,Mil-Spec Grade,0.05 - 0.7
AWP | Atheris,The Prisma Collection,Restricted,0 - 1
AWP | Containment Breach,The Shattered Web Collection,Covert,0 - 1
AWP | Wildfire,The CS20 Collection,Covert,0.01 - 0.7
AWP | Corticera,The eSports 2014 Summer Collection,Classified,0.06 - 0.3
AWP | Dragon Lore,The Cobblestone Collection,Covert,0 - 0.7
AWP | Medusa,The Gods and Monsters Collection,Covert,0 - 1
AWP | Crakow!,The Overpass 2024 Collection,Classified,0 - 1
AWP | Green Energy,The Boreal Collection,Classified,0 - 0.75
AWP | Mortis,The Clutch Collection,Classified,0 - 0.64
AWP | The Prince,The Canals Collection,Covert,0 - 0.6
AWP | Exoskeleton,The Operation Broken Fang Collection,Restricted,0 - 1
AWP | Gungnir,The Norse Collection,Covert,0 - 0.6
AWP | Desert Hydra,The 2021 Mirage Collection,Covert,0 - 0.6
AWP | Duality,The Revolution Collection,Classified,0 - 0.8
AWP | Phobos,The Gamma Collection,Restricted,0 - 0.4
AWP | Black Nile,The Anubis Collection,Mil-Spec Grade,0 - 0.75
AWP | CMYK,The Graphic Design Collection,Covert,0 - 0.8
AWP | BOOM,The eSports 2013 Collection,Classified,0.06 - 0.28
AWP | Pink DDPAT,The Overpass Collection,Restricted,0.06 - 0.8
AWP | Electric Hive,The eSports 2013 Winter Collection,Classified,0 - 0.4
AWP | Acheron,The 2018 Nuke Collection,Mil-Spec Grade,0 - 0.83
AWP | Pit Viper,The Italy Collection,Restricted,0.08 - 0.5
AWP | POP AWP,The 2021 Train Collection,Restricted,0 - 0.44
AWP | Arsenic Spill,The Radiant Collection,Mil-Spec Grade,0 - 0.501961
AWP | Sun in Leo,The Gods and Monsters Collection,Industrial Grade,0 - 0.5
AWP | Safari Mesh,The Lake Collection,Industrial Grade,0.06 - 0.8
AWP | Snake Camo,The Dust Collection,Mil-Spec Grade,0.06 - 0.8
★ Bayonet | Fade,Unknown,Covert,0 - 0.08
★ Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Gamma Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Marble Fade,Unknown,Covert,0 - 0.08
★ Bayonet | Freehand,Unknown,Covert,0 - 0.48
★ Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Doppler,Unknown,Covert,0 - 0.08
★ Bayonet | Slaughter,Unknown,Covert,0.01 - 0.26
★ Bayonet | Tiger Tooth,Unknown,Covert,0 - 0.08
★ Bayonet | Blue Steel,Unknown,Covert,0 - 1
★ Bayonet | Damascus Steel,Unknown,Covert,0 - 0.5
★ Bayonet | Stained,Unknown,Covert,0 - 1
★ Bayonet | Case Hardened,Unknown,Covert,0 - 1
★ Bayonet | Rust Coat,Unknown,Covert,0.4 - 1
★ Bayonet | Lore,Unknown,Covert,0 - 0.65
★ Bayonet | Black Laminate,Unknown,Covert,0 - 1
★ Bayonet | Autotronic,Unknown,Covert,0 - 0.85
★ Bayonet | Forest DDPAT,Unknown,Covert,0.06 - 0.8
★ Bayonet | Boreal Forest,Unknown,Covert,0.06 - 0.8
★ Bayonet | Bright Water,Unknown,Covert,0 - 0.5
★ Bayonet | Crimson Web,Unknown,Covert,0.06 - 0.8
★ Bayonet | Night,Unknown,Covert,0.06 - 0.8
★ Bayonet | Ultraviolet,Unknown,Covert,0.06 - 0.8
★ Bayonet | Scorched,Unknown,Covert,0.06 - 0.8
★ Bayonet | Safari Mesh,Unknown,Covert,0.06 - 0.8
★ Bayonet | Urban Masked,Unknown,Covert,0.06 - 0.8
PP-Bizon | Breaker Box,The 2021 Vertigo Collection,Industrial Grade,0 - 0.44
PP-Bizon | Carbon Fiber,The Vertigo Collection,Industrial Grade,0 - 0.12
PP-Bizon | Cobalt Halftone,The Winter Offensive Collection,Mil-Spec Grade,0.05 - 0.45
PP-Bizon | Brass,The Dust 2 Collection,Mil-Spec Grade,0 - 1
PP-Bizon | Rust Coat,The Alpha Collection,Mil-Spec Grade,0 - 1
PP-Bizon | Osiris,The Breakout Collection,Restricted,0 - 0.5
PP-Bizon | High Roller,The Spectrum 2 Collection,Classified,0 - 1
PP-Bizon | Antique,The Huntsman Collection,Restricted,0 - 0.5
PP-Bizon | Photic Zone,The Wildfire Collection,Mil-Spec Grade,0 - 1
PP-Bizon | Judgement of Anubis,The Chroma 3 Collection,Covert,0 - 0.5
PP-Bizon | Fuel Rod,The Revolver Case Collection,Restricted,0 - 1
PP-Bizon | Night Riot,The Clutch Collection,Mil-Spec Grade,0 - 0.8
PP-Bizon | Embargo,The Shattered Web Collection,Restricted,0 - 1
PP-Bizon | Space Cat,The Dreams & Nightmares Collection,Restricted,0 - 0.67
PP-Bizon | Lumen,The Operation Riptide Collection,Mil-Spec Grade,0 - 0.77
PP-Bizon | Runic,The Fracture Collection,Mil-Spec Grade,0 - 1
PP-Bizon | Harvester,The Gamma Collection,Mil-Spec Grade,0 - 1
PP-Bizon | Bamboo Print,The Rising Sun Collection,Consumer Grade,0 - 0.8
PP-Bizon | Jungle Slipstream,The Spectrum Collection,Mil-Spec Grade,0 - 0.5
PP-Bizon | Facility Sketch,The 2018 Nuke Collection,Consumer Grade,0 - 0.5
PP-Bizon | Modern Hunter,The Militia Collection,Mil-Spec Grade,0.06 - 0.8
PP-Bizon | Anolis,The 2021 Mirage Collection,Consumer Grade,0 - 0.5
PP-Bizon | Death Rattle,The Havoc Collection,Consumer Grade,0.08 - 0.5
PP-Bizon | Blue Streak,The eSports 2014 Summer Collection,Restricted,0.06 - 0.8
PP-Bizon | Night Ops,The Lake Collection,Industrial Grade,0 - 0.6
PP-Bizon | Water Sigil,The eSports 2013 Winter Collection,Mil-Spec Grade,0 - 0.5
PP-Bizon | Wood Block Camo,The Radiant Collection,Consumer Grade,0 - 0.6
PP-Bizon | Seabird,The St. Marc Collection,Consumer Grade,0 - 0.5
PP-Bizon | Chemical Green,The Cache Collection,Industrial Grade,0 - 0.9
PP-Bizon | Candy Apple,The 2018 Inferno Collection,Industrial Grade,0 - 0.3
PP-Bizon | Forest Leaves,The Militia Collection,Consumer Grade,0.06 - 0.8
PP-Bizon | Irradiated Alert,The Nuke Collection,Consumer Grade,0.06 - 0.8
PP-Bizon | Sand Dashed,The Italy Collection,Consumer Grade,0.06 - 0.8
PP-Bizon | Urban Dashed,The Train Collection,Consumer Grade,0.06 - 0.8
PP-Bizon | Cold Cell,The Sport & Field Collection,Industrial Grade,0 - 0.4
CZ75-Auto | Army Sheen,The Chop Shop Collection,Consumer Grade,0 - 0.3
CZ75-Auto | Copper Fiber,The Train 2025 Collection,Industrial Grade,0 - 0.563291
CZ75-Auto | Emerald Quartz,The Norse Collection,Mil-Spec Grade,0 - 0.7
CZ75-Auto | Polymer,The Glove Collection,Mil-Spec Grade,0 - 0.5
CZ75-Auto | Tread Plate,The Arms Deal 3 Collection,Restricted,0 - 0.2
CZ75-Auto | The Fuschia Is Now,The Arms Deal 3 Collection,Classified,0 - 0.4
CZ75-Auto | Twist,The Huntsman Collection,Mil-Spec Grade,0 - 1
CZ75-Auto | Poison Dart,The Huntsman Collection,Mil-Spec Grade,0 - 0.7
CZ75-Auto | Chalice,The Cobblestone Collection,Restricted,0 - 0.1
CZ75-Auto | Emerald,The Chop Shop Collection,Mil-Spec Grade,0 - 0.08
CZ75-Auto | Silver,The Ancient Collection,Industrial Grade,0 - 0.08
CZ75-Auto | Victoria,The Arms Deal 3 Collection,Covert,0 - 0.75
CZ75-Auto | Slalom,The Graphic Design Collection,Restricted,0 - 0.57
CZ75-Auto | Tigris,The Breakout Collection,Restricted,0 - 1
CZ75-Auto | Distressed,The Prisma 2 Collection,Mil-Spec Grade,0 - 1
CZ75-Auto | Eco,The Horizon Collection,Restricted,0 - 1
CZ75-Auto | Pole Position,The Chroma 2 Collection,Restricted,0 - 0.7
CZ75-Auto | Circaetus,The Snakebite Collection,Mil-Spec Grade,0 - 0.9
CZ75-Auto | Yellow Jacket,The Falchion Collection,Classified,0 - 1
CZ75-Auto | Tacticat,The Spectrum 2 Collection,Restricted,0 - 0.7
